City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
566,Kahta,TR,76.37,clear sky,37.7855,38.6237,Kommagene Hotel
569,Madison,US,77.4,overcast clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
570,Mitsamiouli,KM,78.39,scattered clouds,-11.3847,43.2844,Foyer ADM
571,Ca Mau,VN,80.46,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
572,Veles,MK,75.65,few clouds,41.7156,21.7756,International Palace
577,Cartagena Del Chaira,CO,81.66,broken clouds,1.3349,-74.8429,HOTEL LA ROCA
581,San Patricio,US,82.27,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
582,Isabela,PH,78.93,broken clouds,6.7085,121.9711,Isawad Resort
586,Son La,VN,76.5,overcast clouds,21.3167,103.9,Galaxy Grand Hotel
591,Royan,FR,75.24,light rain,45.6285,-1.0281,Hôtel Cordouan Thalassothérapie et Spa - Royan
592,Texarkana,US,80.46,clear sky,33.4251,-94.0477,"Holiday Inn Express & Suites Texarkana, an IHG Hotel"
593,Harper,LR,82.63,overcast clouds,4.375,-7.7169,Screensaver
600,Bantou,CN,75.61,moderate rain,26.2151,117.4893,
605,Pitimbu,BR,84.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
606,Sao Filipe,CV,75.18,overcast clouds,14.8961,-24.4956,Hotel Xaguate
607,Hambantota,LK,80.47,broken clouds,6.1241,81.1185,Bungalow 63
608,Fort Dodge,US,84.33,clear sky,42.4975,-94.168,"Country Inn & Suites by Radisson, Fort Dodge, IA"
610,Fuengirola,ES,79.66,few clouds,36.54,-4.6247,Hotel Las Palmeras
611,Mahon,ES,70.36,broken clouds,39.8885,4.2658,ARTIEM Capri
616,Mangai,CD,81.28,broken clouds,-4.05,19.5333,
617,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
618,Gezing,AT,77.5,few clouds,47.9178,13.1299,Landhaus Brieger
620,Ypsonas,CY,75.96,few clouds,34.6884,32.9574,Club Aphrodite
621,High Rock,BS,79.88,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
624,Fernie,CA,80.69,scattered clouds,49.5,-115.0687,Fernie Stanford Resort
